run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
1,59,63,1,61543078,1.0,"[[""41950"", ""18493"", ""47674"", ""2489"", ""6887"", ""24333"", ""36488"", ""13989"", ""12794"", ""7911""]]"
1,60,17,1,61795906,1.0,"[[""6887"", ""3983"", ""34971"", ""12794"", ""47455"", ""48969"", ""6313"", ""43202"", ""16761"", ""4407""]]"
1,61,53,1,62922608,1.0,"[[""842"", ""5657"", ""6887"", ""46062"", ""16761"", ""15373"", ""4465"", ""23389"", ""12794"", ""47674""]]"
1,62,21,1,60321083,1.0,"[[""31414"", ""36329"", ""24136"", ""15373"", ""34971"", ""1007"", ""16449"", ""20401"", ""43202"", ""43814""]]"
1,63,49,1,62362266,1.0,"[[""2259"", ""15373"", ""39450"", ""46062"", ""24136"", ""16761"", ""24333"", ""23389"", ""16449"", ""4407""]]"
2,0,3,1,59555545,1.0,"[[""24333"", ""34971"", ""33554"", ""2489"", ""24507"", ""6025"", ""36329"", ""46062"", ""12794"", ""18366""]]"
2,1,5,1,59080993,1.0,"[[""1137"", ""2259"", ""24136"", ""3983"", ""31414"", ""43814"", ""29753"", ""2489"", ""20401"", ""47644""]]"
2,2,37,1,63164550,1.0,"[[""6025"", ""12192"", ""47455"", ""4407"", ""36488"", ""10065"", ""12794"", ""2489"", ""1007"", ""43202""]]"
2,3,7,1,60834534,1.0,"[[""32465"", ""2259"", ""31414"", ""24333"", ""4407"", ""47644"", ""15373"", ""39450"", ""24507"", ""8791""]]"
2,4,31,1,58873301,1.0,"[[""41950"", ""43202"", ""33554"", ""47644"", ""23159"", ""48969"", ""6313"", ""5657"", ""6887"", ""10065""]]"
2,5,45,1,58451478,1.0,"[[""31414"", ""12192"", ""7911"", ""13989"", ""842"", ""19174"", ""20401"", ""24333"", ""8791"", ""43814""]]"
2,6,15,1,59294123,1.0,"[[""18493"", ""6887"", ""6025"", ""34971"", ""18366"", ""15373"", ""24333"", ""19174"", ""5657"", ""4407""]]"
2,7,12,1,60914384,1.0,"[[""3983"", ""5905"", ""2259"", ""20401"", ""4407"", ""8791"", ""2489"", ""15373"", ""9281"", ""5657""]]"
2,8,57,1,60508425,1.0,"[[""4407"", ""8791"", ""5905"", ""23159"", ""24333"", ""16449"", ""32558"", ""19174"", ""12192"", ""9281""]]"
2,9,25,1,60038740,1.0,"[[""33554"", ""47674"", ""31414"", ""18493"", ""29753"", ""9281"", ""12794"", ""10065"", ""39450"", ""36329""]]"
2,10,59,1,59541805,1.0,"[[""10065"", ""24333"", ""4465"", ""12794"", ""5657"", ""34971"", ""36329"", ""6025"", ""842"", ""32558""]]"
2,11,19,1,60108324,1.0,"[[""47674"", ""10065"", ""13989"", ""31414"", ""41950"", ""19174"", ""34971"", ""5905"", ""18366"", ""842""]]"
2,12,27,1,59983497,1.0,"[[""18366"", ""24136"", ""842"", ""33554"", ""6019"", ""7911"", ""47455"", ""24507"", ""2259"", ""43202""]]"
2,13,17,1,61938000,1.0,"[[""6887"", ""3983"", ""34971"", ""12794"", ""47455"", ""48969"", ""6313"", ""43202"", ""16761"", ""4407""]]"
2,14,46,1,60985110,1.0,"[[""13989"", ""1137"", ""47674"", ""6019"", ""1007"", ""33554"", ""36329"", ""31414"", ""10065"", ""43814""]]"
2,15,40,1,61371470,1.0,"[[""43814"", ""24136"", ""6025"", ""33554"", ""18493"", ""32558"", ""12192"", ""2489"", ""1007"", ""3983""]]"
2,16,41,1,61370168,1.0,"[[""36488"", ""32465"", ""8791"", ""7911"", ""6887"", ""6025"", ""842"", ""47455"", ""1007"", ""33554""]]"
2,17,4,1,60505721,1.0,"[[""12794"", ""13989"", ""33554"", ""6025"", ""34971"", ""5905"", ""29753"", ""4465"", ""9281"", ""32465""]]"
2,18,11,1,67660537,1.0,"[[""6887"", ""39450"", ""24507"", ""47674"", ""1007"", ""15373"", ""46062"", ""842"", ""16449"", ""32465""]]"
2,19,23,1,60544569,1.0,"[[""13989"", ""7911"", ""43814"", ""16761"", ""23159"", ""16449"", ""6313"", ""10065"", ""9281"", ""23389""]]"
2,20,36,1,61069827,1.0,"[[""24333"", ""18366"", ""36329"", ""8791"", ""4465"", ""33554"", ""48969"", ""15373"", ""4407"", ""24136""]]"
2,21,44,1,64034967,1.0,"[[""15373"", ""4465"", ""10065"", ""29753"", ""20401"", ""5905"", ""32558"", ""6025"", ""18493"", ""47674""]]"
2,22,35,1,58403426,1.0,"[[""13989"", ""1007"", ""41950"", ""3983"", ""6887"", ""12192"", ""2489"", ""23389"", ""29753"", ""6025""]]"
2,23,39,1,61130949,1.0,"[[""9281"", ""6887"", ""6025"", ""10065"", ""16449"", ""13989"", ""46062"", ""19174"", ""8791"", ""15373""]]"
2,24,1,1,61074444,1.0,"[[""6019"", ""1007"", ""10065"", ""20401"", ""34971"", ""18366"", ""47644"", ""31414"", ""842"", ""4465""]]"
2,25,2,1,61973564,1.0,"[[""32558"", ""6025"", ""12192"", ""43814"", ""6313"", ""19174"", ""24136"", ""1137"", ""10065"", ""31414""]]"
2,26,32,1,62064890,1.0,"[[""36488"", ""10065"", ""20401"", ""6019"", ""32558"", ""9281"", ""3983"", ""2259"", ""6313"", ""32465""]]"
2,27,60,1,62141325,1.0,"[[""4407"", ""18366"", ""47455"", ""10065"", ""6887"", ""3983"", ""1137"", ""15373"", ""41950"", ""43202""]]"
2,28,42,1,61486943,1.0,"[[""4407"", ""1137"", ""43202"", ""39450"", ""47644"", ""6019"", ""32558"", ""24333"", ""16449"", ""6887""]]"
2,29,47,1,61505621,1.0,"[[""16761"", ""23389"", ""48969"", ""20401"", ""2489"", ""24333"", ""2259"", ""15373"", ""5905"", ""18366""]]"
2,30,33,1,63298601,1.0,"[[""24507"", ""2489"", ""5657"", ""32465"", ""47674"", ""2259"", ""31414"", ""5905"", ""1007"", ""6025""]]"
2,31,63,1,60402827,1.0,"[[""41950"", ""18493"", ""47674"", ""2489"", ""6887"", ""24333"", ""36488"", ""13989"", ""12794"", ""7911""]]"
2,32,13,1,67677703,1.0,"[[""19174"", ""6025"", ""33554"", ""23159"", ""18366"", ""46062"", ""5657"", ""18493"", ""47455"", ""1007""]]"
2,33,28,1,62241525,1.0,"[[""842"", ""15373"", ""31414"", ""12794"", ""1007"", ""39450"", ""13989"", ""5905"", ""47674"", ""29753""]]"
2,34,16,1,60458369,1.0,"[[""1007"", ""16761"", ""6019"", ""32465"", ""39450"", ""5657"", ""1137"", ""43814"", ""842"", ""12794""]]"
2,35,58,1,67275059,1.0,"[[""18366"", ""46062"", ""2259"", ""9281"", ""1007"", ""19174"", ""4407"", ""6019"", ""24136"", ""6025""]]"
2,36,29,1,65498833,1.0,"[[""46062"", ""47674"", ""2489"", ""6313"", ""36329"", ""12192"", ""16761"", ""39450"", ""10065"", ""20401""]]"
2,37,24,1,59960152,1.0,"[[""48969"", ""34971"", ""23389"", ""43814"", ""47644"", ""842"", ""24507"", ""39450"", ""12794"", ""16449""]]"
2,38,8,1,63012032,1.0,"[[""48969"", ""2489"", ""36329"", ""32558"", ""12192"", ""1007"", ""24136"", ""24507"", ""39450"", ""6025""]]"
2,39,62,1,62080624,1.0,"[[""48969"", ""9281"", ""5905"", ""47674"", ""32465"", ""18493"", ""12794"", ""4465"", ""19174"", ""2259""]]"
2,40,51,1,61524780,1.0,"[[""29753"", ""32465"", ""12192"", ""43202"", ""31414"", ""23159"", ""20401"", ""47674"", ""47644"", ""1007""]]"
2,41,55,1,61222737,1.0,"[[""19174"", ""34971"", ""18493"", ""24136"", ""4407"", ""6025"", ""5657"", ""842"", ""32558"", ""47455""]]"
2,42,21,1,59997327,1.0,"[[""31414"", ""36329"", ""24136"", ""15373"", ""34971"", ""1007"", ""16449"", ""20401"", ""43202"", ""43814""]]"
