experiment,batch,eligible,fraction,block,engine,n_repetitions,p50_ns,p95_ns,p50_spread_ratio,p95_spread_ratio,p50_min_ns,p50_max_ns,p95_min_ns,p95_max_ns,evaluation_recall_at_10,tuning_recall_at_10,filter_violations,process_returncode,started_unix,path
e2,16,10000,0.1,0,cpu,3,63411291,85916640,1.0826635383639822,1.102082556944449,63080000,68294416,83745081,92293993,1,1,0,0,1790265998.1188867,e2/b16-e10000/block-00/cpu/summary.txt
e2,16,10000,0.1,0,gpu-mask,3,2267778,2333818,1.0034458415319327,1.013257814354605,2263598,2271398,2333718,2364658,1,1,0,0,1790265925.197575,e2/b16-e10000/block-00/gpu-mask/summary.txt
e2,16,10000,0.1,0,gpu-predicate,3,2238818,2387167,1.0275440986682163,1.2510980597374737,2226938,2288277,2381018,2978887,1,1,0,0,1790265778.088477,e2/b16-e10000/block-00/gpu-predicate/summary.txt
e2,16,10000,0.1,0,gpu-rows,3,2090338,2424047,1.0413011864198667,1.130066252555353,2084928,2171038,2156747,2437267,1,1,0,0,1790265851.951318,e2/b16-e10000/block-00/gpu-rows/summary.txt
e2,16,10000,0.1,1,cpu,3,62269456,66611343,1.0072408427069237,1.1521298097561237,61836587,62284336,66486713,76601324,1,1,0,0,1790266208.4347475,e2/b16-e10000/block-01/cpu/summary.txt
e2,16,10000,0.1,1,gpu-mask,3,2272928,2303048,1.0025063120301216,1.0104435664322269,2270268,2275958,2297108,2321098,1,1,0,0,1790266415.3759274,e2/b16-e10000/block-01/gpu-mask/summary.txt
e2,16,10000,0.1,1,gpu-predicate,3,2242408,2310488,1.0118207235645291,1.0341859500474673,2240049,2266528,2304748,2383538,1,1,0,0,1790266341.3961701,e2/b16-e10000/block-01/gpu-predicate/summary.txt
e2,16,10000,0.1,1,gpu-rows,3,2127438,2214758,1.0032085692321735,1.1501455747223555,2125558,2132378,2165898,2491098,1,1,0,0,1790266135.5567503,e2/b16-e10000/block-01/gpu-rows/summary.txt
e2,16,10000,0.1,2,cpu,3,62286006,66825393,1.0153523325389384,1.3713153122772452,62155897,63110135,65973603,90470612,1,1,0,0,1790266561.3979218,e2/b16-e10000/block-02/cpu/summary.txt
e2,16,10000,0.1,2,gpu-mask,3,2262378,2294438,1.0245870337558165,1.0070405097416242,2210108,2264448,2293868,2310018,1,1,0,0,1790266488.3951828,e2/b16-e10000/block-02/gpu-mask/summary.txt
e2,16,10000,0.1,2,gpu-predicate,3,2267189,2321808,1.0114378750059039,1.0380825212870524,2244298,2269968,2293178,2380508,1,1,0,0,1790266766.2492623,e2/b16-e10000/block-02/gpu-predicate/summary.txt
e2,16,10000,0.1,2,gpu-rows,3,2076178,2231628,1.0051587695707807,1.1388492638590977,2074138,2084838,2110058,2403038,1,1,0,0,1790266694.1123395,e2/b16-e10000/block-02/gpu-rows/summary.txt
e2,16,10000,0.1,3,cpu,3,63094585,86754816,1.0209898744772532,1.392922766892215,62036007,63338135,62877115,87582965,1,1,0,0,1790267061.3388667,e2/b16-e10000/block-03/cpu/summary.txt
e2,16,10000,0.1,3,gpu-mask,3,2264108,2373158,1.0297376385859973,1.0304997046744337,2232188,2298568,2316088,2386728,1,1,0,0,1790266913.8213637,e2/b16-e10000/block-03/gpu-mask/summary.txt
