batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
16,3000,0.03,p50_ns,gpu-rows,gpu-mask,5,-0.5423728086065536,-0.7021088036575851,-0.42884436097762896,0.5813671415091725,0.49553920628126985,0.6512612829629146,0.6607423283170152,False,False
16,3000,0.03,p95_ns,gpu-rows,gpu-mask,5,-0.4275118507852874,-0.6994208309448933,-0.36047954127878395,0.6521296737016036,0.4968729939351588,0.697341841679396,0.6881421068218078,False,False
16,3000,0.03,p50_ns,gpu-predicate,gpu-mask,5,-0.004047133696457061,-0.17769170635990025,0.005953731469947891,0.9959610449120939,0.8372004872927301,1.0059714901551442,0.6607423283170152,False,False
16,3000,0.03,p95_ns,gpu-predicate,gpu-mask,5,-0.02163962539229877,-0.1796792622712989,0.0027812250966553383,0.9785928315217456,0.8355381570495725,1.0027850962912304,0.6881421068218078,False,False
16,3000,0.03,p50_ns,gpu-rows,cpu,5,-1.7573196797206911,-1.9259355635840654,-1.6955426268201947,0.1725066177082165,0.1457393446314196,0.18349963018682539,0.6607423283170152,True,False
16,3000,0.03,p95_ns,gpu-rows,cpu,5,-1.7077040220841988,-1.8076895405233915,-1.6713247804766818,0.1812815335660816,0.16403269020170994,0.18799784471934958,0.6881421068218078,True,False
16,3000,0.03,p50_ns,gpu-predicate,cpu,5,-1.2652658017509828,-1.461720705345615,-1.1665474940956637,0.2821642864107134,0.23183700813897742,0.31144033684878814,0.6607423283170152,True,False
16,3000,0.03,p95_ns,gpu-predicate,cpu,5,-1.265452555083693,-1.5269037430767136,-1.1777510302560816,0.28211159621004284,0.21720715638996685,0.30797057685724544,0.6881421068218078,True,False
16,3000,0.03,p50_ns,gpu-mask,cpu,5,-1.2325175132275166,-1.2840289989857148,-1.1725012255656118,0.2915576527300404,0.27691934209053415,0.30959161357620263,0.6607423283170152,True,False
16,3000,0.03,p95_ns,gpu-mask,cpu,5,-1.2438129296913942,-1.3640310602887846,-1.1082687095784982,0.28828291718768223,0.25562824438657683,0.33013001753747145,0.6881421068218078,True,False
16,10000,0.1,p50_ns,gpu-rows,gpu-predicate,5,-0.05761182937918718,-0.08801203470373385,0.06211342417807003,0.9440163157248277,0.9157498558787996,1.064083030626702,0.6607423283170152,False,False
16,10000,0.1,p95_ns,gpu-rows,gpu-predicate,5,-0.039614828556446456,-0.0546008774386143,0.43913964005092704,0.9611595790866428,0.9468629869270623,1.5513719059149997,0.6881421068218078,False,False
16,10000,0.1,p50_ns,gpu-rows,gpu-mask,5,-0.06615042931476213,-0.08588776904693339,0.06110760534357698,0.9359900533584874,0.9176972194743761,1.0630132939438701,0.6607423283170152,False,False
16,10000,0.1,p95_ns,gpu-rows,gpu-mask,5,-0.027756569388205383,-0.06107309643141815,0.4512890910754892,0.9726251047097372,0.9407544714679764,1.5703351863681094,0.6881421068218078,False,False
16,10000,0.1,p50_ns,gpu-predicate,gpu-mask,5,-0.0010058188344931765,-0.013518579701634805,0.002124265656800481,0.9989946868317203,0.9865723859268749,1.002126523507566,0.6607423283170152,False,False
16,10000,0.1,p95_ns,gpu-predicate,gpu-mask,5,0.011858259168241198,-0.006472218992803881,0.0226017541019221,1.0119288470640742,0.9935486807030969,1.0228591089793635,0.6881421068218078,False,False
16,10000,0.1,p50_ns,gpu-rows,cpu,5,-3.38540606432308,-3.4123161616803386,-3.25019874075389,0.03386388863640199,0.0329647601718123,0.03876650258212497,0.6607423283170152,True,False
16,10000,0.1,p95_ns,gpu-rows,cpu,5,-3.4037317359103305,-3.6599374719452986,-3.0228401891765517,0.03324896181720883,0.025734121780628297,0.048662810315377676,0.6881421068218078,True,False
16,10000,0.1,p50_ns,gpu-predicate,cpu,5,-3.323920744228958,-3.343693889045238,-3.31231216493196,0.03601136325970152,0.035306298999652916,0.0364318398718313,0.6607423283170152,True,False
16,10000,0.1,p95_ns,gpu-predicate,cpu,5,-3.4619798292274786,-3.6053365945066846,-3.359736950521825,0.03136759801427263,0.027178295208418163,0.034744397238337235,0.6881421068218078,True,False
16,10000,0.1,p50_ns,gpu-mask,cpu,5,-3.31532030528286,-3.3308414395927146,-3.310402164527323,0.03632241245328846,0.035762999999479586,0.0365014911965828,0.6607423283170152,True,False
16,10000,0.1,p95_ns,gpu-mask,cpu,5,-3.4741292802520407,-3.6058719707473457,-3.3646414153587982,0.03098880464362875,0.02716374848923328,0.03457441174846152,0.6881421068218078,True,False
16,30000,0.3,p50_ns,gpu-rows,gpu-predicate,2,0.014612744503988539,-0.0024019968130970515,0.03162748582107413,1.0147200326091876,0.9976008856728787,1.0321329495250904,0.6607423283170152,False,False
16,30000,0.3,p95_ns,gpu-rows,gpu-predicate,2,-0.000814631680043594,-0.09487906844364653,0.09324980508355935,0.9991857000422601,0.909482913002306,1.097735921033637,0.6881421068218078,False,False
16,30000,0.3,p50_ns,gpu-rows,gpu-mask,2,0.06679659764306209,0.017319729316317832,0.11627346596980634,1.0690780030723004,1.0174705854990589,1.1233030152832018,0.6607423283170152,False,False
16,30000,0.3,p95_ns,gpu-rows,gpu-mask,2,0.07276133720601904,0.06667061582728423,0.07885205858475386,1.0754738306935232,1.0689433271678008,1.0820442310736584,0.6881421068218078,False,False
