engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,141,2006;4761;534;2379;4332;110;314;2449;1317;2517;1671;2657;3912;682;3999;2367,16,258418,,10,1.0,1.0
faiss-flat,0,142,2870;216;3830;2713;2201;1490;2135;2791;309;2549;1946;4258;2283;4525;754;364,16,251688,,10,1.0,1.0
faiss-flat,0,143,827;2874;2090;3897;2143;3927;2829;2671;2804;3865;1621;3072;4592;3497;3114;2351,16,228613,,10,1.0,1.0
faiss-flat,0,144,3362;3562;495;828;4644;1554;3759;2639;1486;1958;3812;3385;2276;802;4482;3549,16,245027,,10,1.0,1.0
faiss-flat,0,145,3039;740;1335;1560;3304;3119;3905;1900;1337;4252;878;3700;4453;4893;3452;844,16,225258,,10,1.0,1.0
faiss-flat,0,146,3265;3805;2585;3296;778;3267;1565;2477;269;1496;1594;1408;2616;2912;1733;2855,16,244236,,10,1.0,1.0
faiss-flat,0,147,4747;3894;3017;4815;4861;1256;2054;3127;2320;4433;735;204;2339;4162;488;4375,16,227592,,10,1.0,1.0
faiss-flat,0,148,2072;2487;3753;4755;1887;4955;4862;2839;1745;2503;3421;2411;800;2470;3131;4906,16,243115,,10,1.0,1.0
faiss-flat,0,149,260;4708;3150;2877;1078;4028;3404;2689;2472;2749;2553;3683;1053;3440;373;3167,16,250456,,10,1.0,1.0
faiss-flat,0,150,4182;1754;2257;1888;1001;3701;861;2935;1384;3539;1799;3309;3015;1314;1093;3431,16,245629,,10,1.0,1.0
faiss-flat,0,151,190;420;2664;2455;281;558;4462;4497;4058;1410;3350;4405;3462;1630;3670;4975,16,228192,,10,1.0,1.0
faiss-flat,0,152,2695;4457;3569;56;4586;1750;1840;4135;2429;4256;3291;3536;2886;294;350;4824,16,241863,,10,1.0,1.0
faiss-flat,0,153,4840;3375;2832;440;2065;3135;1785;1500;1815;2961;3952;2408;570;2817;932;3511,16,224627,,10,1.0,1.0
faiss-flat,0,154,3529;4787;559;1860;4289;1206;1306;2148;1672;2785;233;3605;441;4124;145;2860,16,246049,,10,1.0,1.0
faiss-flat,0,155,4590;2728;2461;2521;1407;2050;2318;2775;2043;4749;3925;3801;2089;3434;87;4758,16,227441,,10,1.0,1.0
faiss-flat,0,156,4837;106;2327;1232;3285;3954;423;1428;4713;4121;1945;4845;575;730;2970;4546,16,247401,,10,1.0,1.0
faiss-flat,0,157,4269;866;4262;4307;2591;1510;48;3658;1067;2589;231;4863;3259;4429;645;4418,16,225818,,10,1.0,1.0
faiss-flat,0,158,943;3694;2125;2603;4800;4206;3013;1132;3917;3647;655;1272;2479;4941;3500;4015,16,244106,,10,1.0,1.0
faiss-flat,0,159,3177;3183;2568;2594;2781;4353;2447;3155;3517;696;1147;3043;4858;2418;1;3199,16,236835,,10,1.0,1.0
faiss-flat,0,160,633;4145;1350;4027;628;2934;3163;180;4730;2963;4771;3085;4808;4318;1369;4775,16,247080,,10,1.0,1.0
faiss-flat,0,161,4229;1276;2042;4865;4185;3390;1157;4658;3283;3347;565;2715;3038;3947;3203;3231,16,232780,,10,1.0,1.0
faiss-flat,0,162,1831;3205;3073;2504;117;1296;4073;3227;1355;3381;2082;4620;2399;1148;426;3161,16,249334,,10,1.0,1.0
faiss-flat,0,163,4371;2314;4950;4583;3601;4793;2225;3889;3508;2965;4743;4148;3192;4647;431;2631,16,206199,,10,1.0,1.0
faiss-flat,0,164,3651;4717;1283;4100;3257;548;4562;2831;2369;148;3930;4513;425;4297;1603;3315,16,243235,,10,1.0,1.0
faiss-flat,0,165,3848;236;2064;3217;935;2773;3436;2999;2303;2949;2206;1488;3250;3871;2441;4768,16,231267,,10,1.0,1.0
faiss-flat,0,166,2277;4314;1213;3253;2731;2296;4851;3219;51;2182;1849;3194;815;2138;912;1772,16,244847,,10,1.0,1.0
faiss-flat,0,167,2721;3543;1605;468;3546;1202;4056;276;3973;2928;1293;4964;4036;4141;3470;3695,16,230516,,10,1.0,1.0
faiss-flat,0,168,38;4876;1739;4579;1328;3319;819;2789;3427;2888;1344;4915;1851;934;1199;2188,16,243335,,10,1.0,1.0
faiss-flat,0,169,1930;4136;1537;3485;1169;1270;3910;2814;4368;1208;1115;3279;4769;1640;4227;3399,16,233200,,10,1.0,1.0
faiss-flat,0,170,2528;930;2446;4852;2228;3535;2485;3031;4059;1706;3466;3168;4465;2900;3080;316,16,251077,,10,1.0,1.0
faiss-flat,0,171,1027;34;1846;3081;4682;1162;2883;1820;2349;4365;1406;4663;4637;1998;1171;2759,16,229194,,10,1.0,1.0
faiss-flat,0,172,4249;3814;3907;4287;583;2730;3877;4597;2641;3843;4890;3143;4762;4825;4806;4293,16,242443,,10,1.0,1.0
faiss-flat,0,173,1534;4801;3416;344;3384;358;2181;2843;838;1872;2010;4933;1669;386;2682;2919,16,235613,,10,1.0,1.0
faiss-flat,0,174,1990;2062;3950;3793;3916;4325;3327;4173;954;3186;2653;3419;1110;4830;979;2236,16,244847,,10,1.0,1.0
faiss-flat,0,175,318;2238;4982;2452;2044;4077;1508;3218;1002;296;3702;852;1675;1498;3703;2871,16,229074,,10,1.0,1.0
faiss-flat,0,176,3047;3142;2686;3323;2859;2882;1548;2020;4386;4736;2602;4179;3269;2923;4424;3899,16,247121,,10,1.0,1.0
faiss-flat,0,177,2169;2768;662;4411;1478;3234;1109;4791;4205;2969;2038;2300;295;3510;576;2867,16,235784,,10,1.0,1.0
faiss-flat,0,178,1191;1130;2513;4005;2593;252;4377;4566;4764;3811;579;3819;3553;1726;312;908,16,243565,,10,1.0,1.0
faiss-flat,0,179,4738;1090;2959;2879;1881;3278;222;44;4996;2336;4123;4460;1504;4645;2008;3093,16,233150,,10,1.0,1.0
faiss-flat,0,180,2192;1902;1964;4463;3512;2698;3719;4335;2142;4654;1727;3095;652;3232;2511;860,16,244146,,10,1.0,1.0
faiss-flat,0,181,3876;4505;509;1520;574;3123;2402;3299;2403;1246;399;1336;2901;3873;1582;3243,16,226520,,10,1.0,1.0
faiss-flat,0,182,1742;1926;484;1648;3408;2502;3915;3766;1415;1018;2529;4636;4810;4065;709;4327,16,241662,,10,1.0,1.0
faiss-flat,0,183,4675;3054;4792;3609;3223;1334;3576;4774;3145;2144;2096;1608;4454;3128;847;4702,16,225909,,10,1.0,1.0
faiss-flat,0,184,848;746;3191;732;3751;3581;771;3023;691;462;2448;1100;2903;4156;1647;4741,16,267241,,10,1.0,1.0
faiss-flat,0,185,2510;4693;519;1876;2648;422;1413;3855;3071;3103;592;3229;2120;1038;2856;876,16,232319,,10,1.0,1.0
faiss-flat,0,186,3919;2266;3570;4355;1349;4209;4521;3111;1010;1766;4488;4919;3720;376;1877;1532,16,242173,,10,1.0,1.0
faiss-flat,0,187,3110;450;2431;1752;745;3630;3442;3455;1917;2392;3400;936;1886;1566;1719;3863,16,233391,,10,1.0,1.0
faiss-flat,0,188,2927;654;898;3968;107;4207;2384;452;3808;2586;985;368;1509;2232;1423;892,16,240601,,10,1.0,1.0
faiss-flat,0,189,1425;448;2187;2500;3948;1468;3509;4476;1625;3862;3036;4750;596;1914;894;3367,16,228843,,10,1.0,1.0
faiss-flat,0,190,2735;2174;4519;392;786;3193;315;3879;402;4498;3594;3675;984;1542;1446;4962,16,249024,,10,1.0,1.0
faiss-flat,0,191,2360;3211;4826;3785;1429;3200;3717;4690;642;2272;2419;4186;2037;1426;4884;4461,16,227041,,10,1.0,1.0
