block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
2,cpu,30000,0,5.14204,5.314291,0.0,0.0,0.0,5.156665,210.0,405.0,0,0,0,0.0,1.0,1790346069.3041675
2,cpu,30000,1,5.316612,5.985516,0.0,0.0,0.0,5.3110115,210.0,405.0,210.0,405.0,3418,0.02336448598130841,1.0,1790345070.50864
2,gpu-predicate,100,0,1.004746,1.051517,0.684448,0.023904,0.0,0.994156,2820,10501,2820,10501,357,0.8978102189781022,1.0,1790345988.2597232
2,gpu-predicate,100,1,0.951106,1.059207,0.683776,0.02368,0.0,0.949655,2820.0,10501.0,2820,10501,419,0.9558139534883721,1.0,1790345387.324772
2,gpu-predicate,1000,0,0.952806,1.144447,0.688896,0.024704,0.0,0.946496,2820.0,10501.0,2835.0,10501.0,348,0.9279069767441861,1.0,1790345358.7140186
2,gpu-predicate,1000,1,1.219457,1.264677,0.689504,0.02512,0.0,1.200882,2820,10501,2820.0,10501.0,532,0.9762340036563071,1.0,1790345530.1181078
2,gpu-predicate,10000,0,0.950945,1.072137,0.679104,0.033632,0.0,0.890105,2550.0,10501.0,2835,10501,355,0.49193548387096775,1.0,1790345310.0806541
2,gpu-predicate,10000,1,1.304098,1.343798,0.682336,0.033984,0.0,1.203527,2550,10501,2685.0,10501.0,948,0.63579604578564,1.0,1790345812.3014789
2,gpu-predicate,3000,0,1.175517,1.210058,0.690656,0.026848,0.0,1.141092,2820.0,10501.0,2820.0,10501.0,418,0.828719723183391,1.0,1790346013.9350703
2,gpu-predicate,3000,1,1.233517,1.269647,0.690528,0.027296,0.0,1.197867,2820.0,10501.0,2820,10501,625,0.8829113924050633,1.0,1790346238.6356473
2,gpu-predicate,30000,0,1.297718,1.322178,0.658912,0.044384,0.0,0.986115,210.0,405.0,2820.0,10501.0,458,0.27644710578842313,1.0,1790345422.4443545
2,gpu-predicate,30000,1,1.504388,1.546989,0.65872,0.048512,0.0,1.1895975,210.0,405.0,210.0,405.0,2098,0.3349146110056926,1.0,1790345701.4178982
2,gpu-rows,100,0,0.145381,0.154421,0.017888,0.007584,0.00211,0.139801,2550,10501,2550,10501,51,0.7614678899082569,1.0,1790345411.9377646
