run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
1,27,35,1,331180,1.0,"[[""893"", ""795"", ""504"", ""750"", ""572"", ""240"", ""166"", ""161"", ""555"", ""859""]]"
1,28,22,1,324317,1.0,"[[""981"", ""413"", ""776"", ""322"", ""993"", ""368"", ""916"", ""563"", ""911"", ""921""]]"
1,29,27,1,335458,1.0,"[[""619"", ""855"", ""863"", ""605"", ""41"", ""129"", ""904"", ""78"", ""157"", ""387""]]"
1,30,6,1,341940,1.0,"[[""612"", ""762"", ""856"", ""681"", ""32"", ""415"", ""256"", ""578"", ""139"", ""652""]]"
1,31,57,1,335207,1.0,"[[""13"", ""685"", ""947"", ""595"", ""848"", ""310"", ""723"", ""43"", ""688"", ""187""]]"
1,32,8,1,343934,1.0,"[[""225"", ""795"", ""753"", ""171"", ""564"", ""995"", ""347"", ""239"", ""298"", ""596""]]"
1,33,42,1,342681,1.0,"[[""669"", ""839"", ""417"", ""31"", ""564"", ""380"", ""531"", ""900"", ""300"", ""214""]]"
1,34,1,1,333243,1.0,"[[""625"", ""653"", ""689"", ""314"", ""155"", ""683"", ""628"", ""560"", ""680"", ""455""]]"
1,35,61,1,329717,1.0,"[[""490"", ""978"", ""302"", ""147"", ""503"", ""87"", ""60"", ""709"", ""501"", ""481""]]"
1,36,62,1,328584,1.0,"[[""699"", ""896"", ""944"", ""51"", ""892"", ""875"", ""70"", ""118"", ""558"", ""687""]]"
1,37,11,1,330789,1.0,"[[""326"", ""872"", ""115"", ""487"", ""273"", ""372"", ""430"", ""270"", ""988"", ""992""]]"
1,38,20,1,326110,1.0,"[[""171"", ""681"", ""230"", ""951"", ""344"", ""875"", ""586"", ""408"", ""158"", ""622""]]"
1,39,45,1,336048,1.0,"[[""954"", ""920"", ""126"", ""680"", ""441"", ""151"", ""327"", ""105"", ""878"", ""828""]]"
1,40,5,1,328194,1.0,"[[""868"", ""698"", ""645"", ""196"", ""281"", ""133"", ""526"", ""559"", ""741"", ""839""]]"
1,41,46,1,326460,1.0,"[[""128"", ""977"", ""239"", ""541"", ""970"", ""216"", ""744"", ""108"", ""120"", ""650""]]"
1,42,56,1,339695,1.0,"[[""181"", ""979"", ""105"", ""197"", ""871"", ""416"", ""134"", ""266"", ""107"", ""76""]]"
1,43,41,1,334595,1.0,"[[""926"", ""32"", ""16"", ""520"", ""124"", ""280"", ""195"", ""121"", ""471"", ""953""]]"
1,44,44,1,338603,1.0,"[[""725"", ""632"", ""509"", ""869"", ""990"", ""882"", ""364"", ""486"", ""375"", ""170""]]"
1,45,58,1,339355,1.0,"[[""102"", ""129"", ""971"", ""746"", ""452"", ""660"", ""322"", ""740"", ""197"", ""979""]]"
1,46,43,1,333194,1.0,"[[""468"", ""74"", ""961"", ""139"", ""65"", ""599"", ""660"", ""102"", ""830"", ""57""]]"
1,47,51,1,335066,1.0,"[[""794"", ""739"", ""711"", ""824"", ""671"", ""890"", ""718"", ""134"", ""620"", ""435""]]"
1,48,48,1,325800,1.0,"[[""401"", ""169"", ""534"", ""11"", ""413"", ""349"", ""363"", ""94"", ""320"", ""73""]]"
1,49,9,1,333594,1.0,"[[""772"", ""104"", ""678"", ""417"", ""840"", ""658"", ""231"", ""241"", ""906"", ""498""]]"
1,50,19,1,329977,1.0,"[[""409"", ""467"", ""187"", ""374"", ""491"", ""961"", ""711"", ""543"", ""670"", ""867""]]"
