host,engine,E,sel_ms,score_ms,p50_ms
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,0.017152,0.005088,0.086221
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,0.0272,0.005312,0.107781
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,0.127744,0.010144,0.37405
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,0.05024,0.00608,0.16028
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,0.287488,0.018144,0.7067815
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,0.665856,0.021984,0.963029
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,0.672064,0.023008,0.9866385
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,0.665696,0.032224,1.076629
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,0.673056,0.025248,1.012238
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,0.64048,0.042752,1.260238
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,0.01776,0.005664,0.18916
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,0.056448,0.009728,0.2804745
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,0.589216,0.03952,1.664653
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,0.216256,0.018432,0.629479
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,0.989632,0.061952,2.7016205
H100 SXM (Linux pod),gpu-predicate,1000,0.982304,0.028,1.286334
H100 SXM (Linux pod),gpu-predicate,10000,0.97184,0.038048,1.349324
H100 SXM (Linux pod),gpu-predicate,3000,0.987552,0.030048,1.280806
H100 SXM (Linux pod),gpu-rows,1000,0.03888,0.010272,0.217439
H100 SXM (Linux pod),gpu-rows,10000,0.204832,0.016032,0.6460265
H100 SXM (Linux pod),gpu-rows,3000,0.094336,0.012224,0.3650315
H100 SXM (Linux pod),gpu-predicate,1000,0.987136,0.028096,1.277511
H100 SXM (Linux pod),gpu-predicate,10000,0.976768,0.03824,1.3336105
H100 SXM (Linux pod),gpu-predicate,3000,0.987776,0.030368,1.287106
H100 SXM (Linux pod),gpu-rows,1000,0.038528,0.010144,0.216257
H100 SXM (Linux pod),gpu-rows,10000,0.206496,0.015808,0.611875
H100 SXM (Linux pod),gpu-rows,3000,0.103904,0.013664,0.379834
H100 SXM (Linux pod),gpu-predicate,1000,0.9872,0.028096,1.26414
H100 SXM (Linux pod),gpu-predicate,10000,0.9768,0.03824,1.335249
H100 SXM (Linux pod),gpu-predicate,3000,0.987808,0.030464,1.287321
H100 SXM (Linux pod),gpu-rows,1000,0.039296,0.010624,0.223548
H100 SXM (Linux pod),gpu-rows,10000,0.188288,0.014528,0.588049
H100 SXM (Linux pod),gpu-rows,3000,0.087712,0.011616,0.3415115
