phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e2,b1-e10000,1,10000,2,gpu-mask,15000,1790251331.1784413,65.76482892036438,210.0,2745.0,30.0,78.45,1680117,1843968,702624.0,31968.0,1007708.0,651579.0,49820.0,817148.0,734496.0
e2,b1-e10000,1,10000,3,cpu,15000,1790251755.5975122,107.39633274078369,210.0,210.0,24.0,14.22,4153724,4626384,,,4144764.0,,,,
e2,b1-e10000,1,10000,3,gpu-rows,15000,1790251991.2870326,65.29421615600586,210.0,450.0,25.0,16.02,1567658,1876507,512160.0,34176.0,864884.0,680139.0,31420.0,668609.0,546048.0
e2,b1-e10000,1,10000,3,gpu-predicate,15000,1790251657.8205926,67.7466344833374,210.0,2745.0,29.0,77.5,1693638,2042267,702624.0,33184.0,995523.5,677259.0,52064.5,822229.0,735712.0
e2,b1-e10000,1,10000,3,gpu-mask,15000,1790251893.0363753,68.21898078918457,210.0,2745.0,30.0,76.91,1760917,1871857,702656.0,32000.0,1057493.5,685223.5,54880.0,847368.0,734528.0
e2,b1-e10000,1,10000,4,cpu,15000,1790252374.9018023,107.50014209747314,210.0,210.0,24.0,13.19,4185274,5081743,,,4176069.5,,,,
e2,b1-e10000,1,10000,4,gpu-rows,15000,1790252086.621355,63.66886925697327,210.0,615.0,24.0,17.15,1515378,1751317,439616.0,29088.0,777149.0,697044.0,31420.0,577014.0,468864.0
e2,b1-e10000,1,10000,4,gpu-predicate,15000,1790252180.324893,66.59222459793091,210.0,2745.0,29.0,77.48,1669117,1875748,702624.0,33184.0,987208.5,660549.0,49940.0,822104.0,735744.0
e2,b1-e10000,1,10000,4,gpu-mask,15000,1790252276.9576988,67.90441465377808,210.0,2745.0,30.0,77.64,1732838,2345927,702656.0,32000.0,1039933.0,674474.0,53774.5,844983.5,734528.0
e2,b1-e100000,1,100000,0,cpu,15000,1790257147.9878292,425.71772623062134,210.0,210.0,25.0,13.45,11496183,12198973,,,11486459.0,,,,
e2,b1-e100000,1,100000,0,gpu-rows,15000,1790257603.7462666,271.0536050796509,210.0,2775.0,33.0,91.96,2549297,2702936,1054944.0,166720.0,2153456.5,311750.0,55020.0,1330458.0,1221504.0
e2,b1-e100000,1,100000,0,gpu-predicate,15000,1790257904.8407462,254.92280530929565,210.0,2775.0,33.0,103.69,1520448,1669618,696608.0,167680.0,1133493.5,302989.5,54770.0,959338.0,864320.0
e2,b1-e100000,1,100000,0,gpu-mask,15000,1790256860.0015564,257.9445917606354,210.0,2775.0,33.0,99.66,1677497,1914117,696288.0,166720.0,1282783.5,311854.5,55830.0,957918.5,863008.0
e2,b1-e100000,1,100000,1,cpu,15000,1790259056.0471976,426.50710558891296,210.0,210.0,26.0,14.66,11607813,12392522,,,11597723.5,,,,
e2,b1-e100000,1,100000,1,gpu-rows,15000,1790258189.8040128,263.4922115802765,210.0,2775.0,33.0,99.1,1946018,2550556,1044704.0,166720.0,1701047.5,161129.5,40340.0,1292108.0,1211472.0
e2,b1-e100000,1,100000,1,gpu-predicate,15000,1790258771.25252,254.75309801101685,210.0,2775.0,33.0,104.47,1542658,1651728,700032.0,167680.0,1143833.5,313245.0,54550.0,967348.5,867552.0
e2,b1-e100000,1,100000,1,gpu-mask,15000,1790258483.334429,257.8785939216614,210.0,2775.0,33.0,100.5,1713987,1794318,700928.0,166720.0,1308178.0,322749.0,56990.0,981533.5,867568.0
e2,b1-e100000,1,100000,2,cpu,15000,1790259799.9739482,426.1957495212555,210.0,210.0,27.0,15.56,11530774,12351514,,,11521104.0,,,,
